name,variable,Use_Case
avpred 16mg tablet,use1,Treatment of Systemic lupus erythematosus (SLE)
alkasar-c syrup,use1,Treatment of Kidney stone
arobrim t eye drop,use1,Treatment of Glaucoma
acipause d 10mg/20mg tablet,use1,Treatment of Peptic ulcer disease
afrax 0.5 tablet,use1,Treatment of Panic disorder
amdac 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
apderm cream,use1,Treatment of Rheumatic disorder
alicare m kid 2.5mg/4mg tablet,use1,Treatment of Hay fever
aceclotp-p 50mg/125mg suspension,use1, Pain relief
ancid 150mg tablet,use1,Treatment of Peptic ulcer disease
acezine plus syrup,use1, Pain relief
aerodef tablet,use1,Treatment of Autoimmune conditions
amgicin 1000 injection,use1, Breast cancer
acizo 20mg tablet,use1,Treatment of Peptic ulcer disease
atorvan f 10mg/160mg tablet,use1,Prevention of Heart attack
acivex 400mg tablet dt,use1, Chickenpox
ampracid mps syrup,use1, Stomach ulcers
alpram 0.5mg tablet,use1,Treatment of Panic disorder
avcort 6mg tablet,use1,Treatment of Autoimmune conditions
anzop 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
alkamox 125mg syrup,use1,Treatment of Bacterial infections
asmol 250mg oral suspension,use1,Treatment of Fever
ascad 150mg tablet,use1,Treatment and prevention of Heart attack
alphalan 2mg tablet,use1, Multiple myeloma
antac injection,use1,Treatment of Peptic ulcer disease
atorfit 80mg tablet,use1,Prevention of Heart attack
acipan 20mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
acioff 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
amlogod 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
avtop 40 tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
amopin 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
arzur 15 tablet,use1, Mania
anxipar 0.5mg tablet,use1,Treatment of Epilepsy/Seizures
atranza capsule,use1, Acute promyelocytic leukaemia
amlong 7.5mg tablet,use1,Prevention of Angina (heart-related chest pain)
altiva 30mg tablet,use1,Treatment of Allergic conditions
axipin 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
aarpik 20mg tablet,use1,Prevention of Heart attack
apentral 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
arimol suspension,use1,Treatment of Fever
angilol 20mg tablet,use1,Treatment of Hypertension (high blood pressure)
atilor 1mg tablet,use1,Treatment of Anxiety disorder
alsone syrup sugar free,use1,Treatment of Kidney stone
amzole 20mg capsule,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
alloy 5mg tablet,use1,Treatment of Recurrent miscarriage
aldetel 20mg tablet,use1, Prevention of heart attack and stroke
albumaps 100mg injection,use1, Non-small cell lung cancer
alleto-lm syrup,use1,Treatment of Hay fever
ampilox cv kid 200 mg/28.5 mg tablet,use1,Treatment of Bacterial infections
alnagest 300mg tablet sr,use1,Treatment of Female infertility
armez 20mg capsule,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
ac 200mg/28.5mg syrup,use1,Treatment of Bacterial infections
angiguard 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
all natural d capsule,use1,Treatment of Peptic ulcer disease
alfex 60mg tablet,use1,Treatment of Allergic conditions
amyrab 20mg tablet,use1,Treatment of Peptic ulcer disease
acewell p oral suspension,use1, Pain relief
ampra d 30mg/40mg capsule sr,use1,Treatment of Peptic ulcer disease
asrapan 40 tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
amoxylav cv dry syrup,use1,Treatment of Bacterial infections
avodase forte 10mg tablet,use1, Swelling
amicon 75mg tablet,use1, Neuropathic pain
alkalife liquid ice cream,use1,Treatment of Kidney stone
adom 30 mg/20 mg tablet sr,use1,Treatment of Peptic ulcer disease
azilura 80 tablet,use1, Heart failure
anurab it 20mg/150mg tablet,use1, Peptic ulcer disease
allydine tablet,use1,Treatment of Recurrent miscarriage
aurohom eye drop,use1, Uveitis
alervo m syrup,use1,Treatment of Hay fever
augpen forte 400mg/57mg tablet dt,use1,Treatment of Bacterial infections
acifate o syrup,use1,Treatment of Heartburn
advamab 400 injection,use1, Non-small cell lung cancer
acugel oral suspension,use1, Stomach ulcers
atorace 40mg tablet,use1,Prevention of Heart attack
alerfre m 5mg/10mg tablet,use1,Treatment of Hay fever
atorgem 10mg tablet,use1,Prevention of Heart attack
amphomul 100mg injection,use1, Kala-azar
amitril 75mg tablet,use1, Neuropathic pain
acera fast 20mg tablet,use1,Treatment of Peptic ulcer disease
azinorm oral suspension,use1,Treatment of Indigestion
animol 500mg tablet,use1,Treatment of Fever
acirax 400 tablet,use1, Chickenpox
asetamole 650mg tablet,use1,Treatment of Fever
actodom-dsr capsule,use1,Treatment of Peptic ulcer disease
astovas 10 tablet,use1,Prevention of Heart attack
actibile 600 sr tablet,use1,Treatment of Gallbladder stones
atipraz-d sr 30mg/40mg capsule,use1,Treatment of Peptic ulcer disease
atorfirst f 10 mg/160 mg tablet,use1,Prevention of Heart attack
alfumet 100mg/300mg tablet,use1, Dysentery
avom 10mg tablet dt,use1,Treatment of Nausea
anvitop-d tablet,use1,Treatment of Peptic ulcer disease
adtrinib 200mg tablet,use1, Kidney cancer
a2d tablet,use1,Treatment of Hay fever
alon 5mg tablet,use1, Swelling
asil syrup,use1, Liver cirrhosis
aova-f 10mg/160mg tablet,use1,Prevention of Heart attack
amlocard-s 2.5 tablet,use1,Prevention of Angina (heart-related chest pain)
acicol o syrup,use1,Treatment of Heartburn
autprol dsr capsule,use1,Treatment of Peptic ulcer disease
aciser 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
amist l 5mg/10mg tablet,use1,Treatment of Hay fever
apetin drop,use1, Appetite stimulant
apetone 4mg tablet,use1, Appetite stimulant
atease 0.5mg tablet,use1,Treatment of Insomnia
acilo 20mg tablet,use1,Treatment of Peptic ulcer disease
adcloz 0.5mg tablet md,use1,Treatment of Epilepsy/Seizures
atorvan 10mg tablet,use1,Prevention of Heart attack
avgesic p syrup,use1, Pain relief
amlodpin 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
atopin 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
andeson 4mg tablet,use1,Treatment of Systemic lupus erythematosus (SLE)
acmerose 10 tablet,use1, Prevention of heart attack and stroke
arzur 10mg tablet,use1, Mania
azoth 50 tablet,use1,Treatment of Rheumatoid arthritis
alfadrops 0.5% eye drop,use1, Glaucoma
abrofyl m 200 mg/10 mg tablet,use1,Treatment of Sneezing and runny nose due to allergies
aztec 150mg tablet,use1,Treatment of Peptic ulcer disease
atostat 20mg tablet,use1,Prevention of Heart attack
adilan injection,use1,Treatment of Peripheral vascular disease
atahist 25mg tablet,use1,Treatment of Skin conditions with inflammation & itching
acipause d 30mg/20mg capsule sr,use1,Treatment of Peptic ulcer disease
actimol f tablet,use1,Treatment of Fever
alvivia tablet,use1,Treatment of Recurrent miscarriage
azin 10mg tablet,use1, Mania
alprose 0.25mg tablet,use1,Treatment of Panic disorder
acirab-d 10mg/20mg tablet,use1,Treatment of Peptic ulcer disease
amoxobic ds dry syrup,use1,Treatment of Bacterial infections
annoflox nz syrup,use1, Dysentery
axn 10mg tablet,use1,Prevention of Heart attack
amipril 5mg tablet,use1, Prevention of heart attack and stroke
acipox 800mg tablet dt,use1, Chickenpox
asart 25mg tablet,use1,Treatment of Heart failure
ad 150mg/100mg suspension,use1,Treatment of Parasitic infections
actinim 100mg tablet dt,use1,Treatment of Fever
anorexin plus 2mg/5ml syrup,use1, Appetite stimulant
amcort 40mg injection,use1,Treatment of Osteoarthritis
arnold 100mg tablet dt,use1,Treatment of Fever
amanat 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
amcid oral suspension mango,use1, Stomach ulcers
antipres 50mg tablet,use1, Bed-wetting
adalirel 20mg injection,use1, Rheumatoid arthritis
ambivox 100mg tablet,use1, Obsessive-compulsive disorder
antem 10mg tablet,use1,Treatment of Nausea
aloxy capsule,use1, Vomiting
amtramont-l tablet,use1,Treatment of Hay fever
aspeeday 75mg tablet,use1,Treatment and prevention of Heart attack
anquil 0.25mg tablet,use1,Treatment of Panic disorder
altiazem 30mg tablet,use1,Treatment of Angina (heart-related chest pain)
afdethro cream,use1,Treatment of Bacterial infections
allflam 400 mg/500 mg tablet,use1,Treatment of Fever
anxo 0.5mg tablet,use1,Treatment of Panic disorder
atazest 10mg tablet,use1,Treatment of Skin conditions with inflammation & itching
atek d 30mg/40mg capsule sr,use1,Treatment of Peptic ulcer disease
acioff-dsr capsule,use1,Treatment of Peptic ulcer disease
aspanz dsr capsule,use1,Treatment of Peptic ulcer disease
acrid rd 30mg/20mg capsule sr,use1,Treatment of Peptic ulcer disease
alkali p injection,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
acmetin suspension,use1, Appetite stimulant
atorindia- tg tablet,use1,Prevention of Heart attack
alderos 5mg tablet,use1, Prevention of heart attack and stroke
all-stat 10 tablet,use1,Prevention of Heart attack
alip 10mg tablet,use1,Prevention of Heart attack
avcaine syrup,use1, Stomach ulcers
alopine 10mg tablet,use1,Treatment of Mania
acipox 400mg tablet dt,use1, Chickenpox
adipostat 40mg tablet,use1, Prevention of heart attack and stroke
afrax 0.25 tablet,use1,Treatment of Panic disorder
adipostat 20mg tablet,use1, Prevention of heart attack and stroke
amo 10mg tablet,use1,Prevention of Angina (heart-related chest pain)
alcicort 40mg injection,use1,Treatment of Osteoarthritis
angiset 4mg tablet md,use1,Treatment of Vomiting
aprogest 200mg tablet,use1,Treatment of Female infertility
albapam 3miu injection,use1,Prevention of Rheumatic fever
acrid od 10mg/20mg capsule,use1,Treatment of Peptic ulcer disease
advene 150mg tablet,use1,Treatment of Peptic ulcer disease
allegcure lc 5mg/10mg tablet,use1,Treatment of Hay fever
altrip 10mg tablet,use1,Prevention of Heart attack
aminol drop,use1,Treatment of Fever
amitril ds tablet,use1, Neuropathic pain
alkanorm syrup,use1,Treatment of Kidney stone
astzin 25mg tablet,use1,Treatment of Vertigo
antima 100mg syrup,use1,Treatment of Malaria
anxicool 0.5mg tablet,use1,Treatment of Insomnia
alifit forte 300mg tablet,use1,Treatment of Gallbladder stones
anvitop 40 tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
ademol 250 oral suspension,use1,Treatment of Fever
alnacer 500mg/50mg tablet,use1, Fever
allugel mps tablet,use1, Stomach ulcers
ageflux olx capsule sr,use1,Treatment of Peptic ulcer disease
aziltrend 40 tablet,use1, Heart failure
alfate 1000mg suspension,use1,Treatment of Stomach ulcers
azox 0.5mg tablet,use1,Treatment of Panic disorder
albicet m syrup,use1,Treatment of Hay fever
alz 0.5mg tablet,use1,Treatment of Panic disorder
azpar iv infusion,use1,Treatment of Fever
aroprol 50mg tablet xl,use1,Treatment of Angina (heart-related chest pain)
arobrim eye drop,use1, Glaucoma
aas 10mg tablet,use1,Prevention of Heart attack
aa m syrup,use1,Treatment of Hay fever
aimfopan d capsule sr,use1,Treatment of Peptic ulcer disease
arotine 25mg tablet cr,use1,Treatment of Panic disorder
azilmac 40 tablet,use1, Heart failure
allgy tablet,use1,Treatment of Hay fever
anax 0.25mg tablet,use1,Treatment of Panic disorder
alpose 0.5mg tablet,use1,Treatment of Panic disorder
arazin 75mg tablet,use1,Treatment of Vertigo
atht-lm 5mg/10mg tablet,use1,Treatment of Hay fever
amark 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
actipraz-dxr capsule,use1,Treatment of Functional dyspepsia
alovir 800mg tablet,use1, Chickenpox
asat 10 tablet,use1,Prevention of Heart attack
arnocin 100mg tablet,use1,Treatment of Acne
axn dry syrup,use1,Treatment of Bacterial infections
amoxolin cv ds dry syrup,use1,Treatment of Bacterial infections
anxetin 25mg tablet cr,use1,Treatment of Panic disorder
accmethyl 4 tablet,use1,Treatment of Systemic lupus erythematosus (SLE)
amoline 10mg tablet,use1,Prevention of Angina (heart-related chest pain)
adwin p 125mg/5ml/5mg/5ml syrup,use1,Treatment of Common cold
arkapam 2mg tablet,use1,Treatment of Anxiety disorder
ancofex 180mg tablet,use1,Treatment of Allergic conditions
atrovarit 10mg tablet,use1,Prevention of Heart attack
amrub dsr capsule,use1,Treatment of Peptic ulcer disease
apeton 2mg/5ml syrup,use1, Appetite stimulant
aramox cv dry syrup,use1,Treatment of Bacterial infections
acidcom-dsr 30mg/40mg capsule,use1,Treatment of Peptic ulcer disease
alom 20mg capsule,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
alphalan 50mg injection,use1, Multiple myeloma
acorab dsr capsule,use1,Treatment of Peptic ulcer disease
auditone 4mg tablet md,use1,Treatment of Vomiting
aleez 0.25mg tablet,use1,Treatment of Panic disorder
alipride mps 125 mg/10 mg tablet,use1, Bloating
amitop 50mg tablet sr,use1, Neuropathic pain
atorgen 40 tablet,use1,Prevention of Heart attack
atroven 10mg tablet,use1,Prevention of Heart attack
acired d 30mg/20mg capsule sr,use1,Treatment of Peptic ulcer disease
absoz 40 tablet,use1,Treatment of Peptic ulcer disease
acidbrake-dsr capsule,use1,Treatment of Peptic ulcer disease
almont kid 2.5mg/4mg tablet,use1,Treatment of Hay fever
acidom 150mg syrup,use1,Treatment of Peptic ulcer disease
apra d 30mg/40mg capsule sr,use1,Treatment of Peptic ulcer disease
alovoxa 100mg tablet,use1, Obsessive-compulsive disorder
autic 500mg injection,use1, Chickenpox
avogest 300 softgel capsule,use1,Treatment of Female infertility
altaxel 260mg injection,use1, Non-small cell lung cancer
abmef spas 10mg/250mg tablet,use1,Treatment of Abdominal cramp
ase 10mg tablet,use1, Swelling
arzole-dsr capsule,use1,Treatment of Peptic ulcer disease
acphy m 200mg/10mg tablet sr,use1,Treatment of Sneezing and runny nose due to allergies
anrab d 30mg/20mg capsule sr,use1,Treatment of Peptic ulcer disease
allpan 40 tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
adequet sr 100 tablet,use1,Treatment of Mania
anglospas forte 10 mg/250 mg tablet,use1,Treatment of Abdominal cramp
aripra mt 10mg tablet,use1, Mania
aspent 60mg tablet,use1,Treatment and prevention of Heart attack
aeropan d 10mg/40mg tablet,use1,Treatment of Peptic ulcer disease
angio 25mg tablet,use1,Treatment of Heart failure
ateros 5mg tablet,use1, Prevention of heart attack and stroke
atosta 40 tablet,use1,Prevention of Heart attack
alcort 100mg injection,use1,Treatment of Allergic conditions
aripra mt 20mg tablet,use1, Mania
antiruf soap,use1,Treatment of Dandruff
abicon 300mg/200mg tablet,use1, Dysentery
alropan 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
alked syrup sugar free,use1,Treatment of Kidney stone
azona 20mg capsule,use1, Mania
arkpine-d tablet,use1,Treatment of Peptic ulcer disease
agopride 3.75mg depot injection,use1,Treatment of Endometriosis
axetam 800mg tablet,use1, Stroke
alovir 200mg tablet,use1, Chickenpox
ampen 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
azmafree 5mg/10mg tablet,use1,Treatment of Hay fever
acontop 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
aurlev 75 tablet,use1, Irritable bowel syndrome
anzip 5mg tablet md,use1,Treatment of Mania
allocid 40 dsr capsule,use1,Treatment of Peptic ulcer disease
atorastin f 10mg/160mg tablet,use1,Prevention of Heart attack
atser 10mg syrup,use1,Treatment of Skin conditions with inflammation & itching
acerest-plus oral suspension,use1, Pain relief
abhope 300mg tablet,use1,Treatment of Chronic hepatitis B virus (HBV) infection
actiser 50mg tablet,use1,Treatment of Post traumatic stress disorder
assipan dsr 30mg/40mg capsule,use1,Treatment of Peptic ulcer disease
adiproz 40 tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
acimar syrup,use1, Stomach ulcers
abrizol-dsr capsule,use1,Treatment of Peptic ulcer disease
atorma 20 tablet,use1,Prevention of Heart attack
allwin-dsr capsule,use1,Treatment of Peptic ulcer disease
atol 50mg tablet,use1,Treatment of Angina (heart-related chest pain)
adclobaz 10 tablet md,use1,Treatment of Severe anxiety
aciraz it 20mg/150mg capsule,use1, Peptic ulcer disease
allrelief lm tablet,use1,Treatment of Hay fever
adinep 20 tablet,use1,Treatment of Severe anxiety
alizol 40 tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
anxipose injection,use1,Treatment of Short term anxiety
apel 2mg/5ml syrup,use1, Appetite stimulant
amphotin lip 50mg injection,use1, Kala-azar
arilam 5mg tablet,use1, Mania
arisun 30mg tablet,use1, Mania
adoxi 120mg injection combipack,use1, Non-small cell lung cancer
acmeto-xl 25 tablet pr,use1,Treatment of Angina (heart-related chest pain)
arclav ds dry syrup,use1,Treatment of Bacterial infections
aricalm tablet,use1, Mania
adirab-ls capsule sr,use1,Treatment of Intestinal ulcers
acopram tablet,use1,Treatment of Anxiety disorder
ab rozu f 160mg/10mg tablet,use1,Prevention of Heart attack
abel 10mg tablet,use1, Heart failure
actpill 800mg tablet,use1, Stroke
azatirel injection,use1,Treatment of Myelodysplastic syndrome
acepride 1mg tablet,use1, Indigestion
arirazo 30mg tablet,use1, Mania
ana 200mg tablet,use1,Treatment of Fever
atohyl 10 tablet,use1,Prevention of Heart attack
anprine 40mg tablet sr,use1,Treatment of Peripheral vascular disease
antimol 500 tablet,use1,Treatment of Fever
alzet 0.25 tablet,use1,Treatment of Panic disorder
aridone 2mg tablet,use1,Treatment of Mania
avelap 250mg tablet sr,use1,Treatment of Bipolar disorder
ahalac liquid laxative,use1,Treatment of Hepatic encephalopathy
atorgift 10mg tablet,use1,Prevention of Heart attack
aoxy-cv oral drops,use1,Treatment of Bacterial infections
atoran 40mg tablet,use1,Prevention of Heart attack
advomont l syrup,use1,Treatment of Hay fever
apenorm 2mg syrup,use1, Appetite stimulant
atekind 25mg tablet,use1,Treatment of Angina (heart-related chest pain)
acylin 800 tablet dt,use1, Chickenpox
atc 800mg tablet,use1, Chickenpox
autidine 40mg tablet,use1,Treatment of Peptic ulcer disease
atelol 50mg tablet,use1,Treatment of Angina (heart-related chest pain)
aldogest 300 sr tablet,use1,Treatment of Female infertility
agrolac suspension,use1,Treatment of Hepatic encephalopathy
antam 500mg syrup,use1, Stroke
amnorm 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
aina 500mg tablet,use1,Treatment of Fever
alevo m 5mg/10mg tablet,use1,Treatment of Hay fever
acitone m oral suspension,use1, Stomach ulcers
analgiawin oral suspension,use1, Pain relief
alkadyne syrup,use1,Treatment of Kidney stone
avopride 25mg tablet,use1, Irritable bowel syndrome
augocare ds dry syrup,use1,Treatment of Bacterial infections
anzidin 10mg tablet,use1,Controlling Heart failure
anzol dp 10mg/20mg tablet,use1,Treatment of Peptic ulcer disease
aff 10mg/160mg/5mg tablet,use1, High triglycerides
ativas 20 tablet,use1,Prevention of Heart attack
alkadin 1.25gm syrup,use1,Treatment of Kidney stone
allynol 5mg tablet,use1,Treatment of Recurrent miscarriage
atcasia 10 tablet,use1,Prevention of Heart attack
alevac-m tablet,use1,Treatment of Hay fever
angiosar 40mg tablet,use1, Prevention of heart attack and stroke
ateez 0.5mg tablet,use1,Treatment of Panic disorder
alpenta d 30mg/40mg capsule sr,use1,Treatment of Peptic ulcer disease
altaxel nova 300mg injection,use1, Non-small cell lung cancer
assuag 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
amphy  capsule,use1, Infectious diarrhea
alergard 180mg tablet,use1,Treatment of Allergic conditions
alerbit m syrup,use1,Treatment of Hay fever
arcmont lc 5mg/10mg tablet,use1,Treatment of Hay fever
ancid syrup,use1, Stomach ulcers
aso lm 5mg/10mg tablet,use1,Treatment of Hay fever
adoloc 20mg capsule,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
azacid oral suspension mint,use1, Stomach ulcers
avovas 20 tablet,use1, Prevention of heart attack and stroke
amoxystrong-clav dry syrup,use1,Treatment of Bacterial infections
amexosyn dry syrup,use1,Treatment of Bacterial infections
acetol 200mg tablet cr,use1, Trigeminal neuralgia
atol 25mg tablet,use1,Treatment of Angina (heart-related chest pain)
astzin 75mg tablet,use1,Treatment of Vertigo
axefire dm 10 mg/20 mg capsule,use1,Treatment of Peptic ulcer disease
alersin m 5 mg/10 mg tablet,use1,Treatment of Hay fever
arolet tablet,use1,Treatment of Infertility due to anovulation
amprez 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
anxionil 1mg tablet,use1,Treatment of Anxiety disorder
amlogen 2.5mg tablet,use1,Prevention of Angina (heart-related chest pain)
acillect-dsr capsule,use1,Treatment of Peptic ulcer disease
addpril 5 tablet,use1, Prevention of heart attack and stroke
apkos-dsr capsule,use1,Treatment of Peptic ulcer disease
atorset 20mg tablet,use1,Prevention of Heart attack
acizole 40mg injection,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
acicure d 10mg/20mg capsule,use1,Treatment of Peptic ulcer disease
atmont 10mg tablet,use1,Prevention of Heart attack
atorcin-f 10 tablet,use1,Prevention of Heart attack
amlopen 10mg tablet,use1,Prevention of Angina (heart-related chest pain)
anazine-m tablet,use1,Treatment of Hay fever
alpose 0.25mg tablet,use1,Treatment of Panic disorder
agretax mf 500 mg/250 mg tablet,use1,Treatment of Menstrual pain
anol 20mg tablet,use1,Treatment of Hypertension (high blood pressure)
amzel 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
aptacid tablet,use1,Treatment of Peptic ulcer disease
amca 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
alfaprest t eye drop,use1,Treatment of Glaucoma
aishtel 40mg tablet,use1, Prevention of heart attack and stroke
alexpan-dsr capsule,use1,Treatment of Peptic ulcer disease
alnaros f 160mg/10mg tablet,use1,Prevention of Heart attack
alenate o oral suspension,use1,Treatment of Heartburn
aculin dry syrup,use1,Treatment of Bacterial infections
alefex 120mg tablet,use1,Treatment of Allergic conditions
azpar 650 tablet,use1,Treatment of Fever
amoxcil kid dry syrup,use1,Treatment of Bacterial infections
almon m 5mg/10mg tablet,use1,Treatment of Hay fever
anace-p oral suspension,use1, Pain relief
allekast-m tablet,use1,Treatment of Hay fever
albis-dsr capsule,use1,Treatment of Peptic ulcer disease
acetra p syrup,use1, Pain relief
arfen 100mg oral suspension,use1,Treatment of Fever
amsipan-dsr capsule,use1,Treatment of Peptic ulcer disease
ahlmide p eye drop,use1, Uveitis
alcitam 800mg tablet,use1, Stroke
athoclav 200mg/28.5mg dry syrup,use1,Treatment of Bacterial infections
atoritic 10mg tablet,use1,Prevention of Heart attack
antilep 200mg tablet,use1, Trigeminal neuralgia
amchek 10mg tablet,use1,Prevention of Angina (heart-related chest pain)
alom mps suspension,use1, Stomach ulcers
anxionil 2mg tablet,use1,Treatment of Anxiety disorder
amitrilix 10mg tablet,use1, Neuropathic pain
amucid oral suspension mango sugar free,use1, Stomach ulcers
acitreat tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
atpure 50mg tablet,use1,Treatment of Angina (heart-related chest pain)
acizap-dsr 30mg/40mg tablet,use1,Treatment of Peptic ulcer disease
alrif 0.5mg tablet,use1,Treatment of Panic disorder
acixx syrup saunf,use1, Stomach ulcers
adit 0.025% cream,use1, Acute promyelocytic leukaemia
arijoy 5 tablet,use1, Mania
acigrel o oral suspension,use1,Treatment of Heartburn
afzole d 10mg/20mg capsule,use1,Treatment of Peptic ulcer disease
ac-clav duo dry syrup,use1,Treatment of Bacterial infections
amline 5 tablet,use1,Prevention of Angina (heart-related chest pain)
alcit nf 1.4gm syrup,use1,Treatment of Kidney stone
apz 30mg tablet,use1, Mania
audon 4mg tablet,use1,Treatment of Vomiting
atorkem 10mg tablet,use1,Prevention of Heart attack
astal 10mg tablet,use1,Treatment of Anxiety disorder
astham 5mg tablet,use1,Treatment of Sneezing and runny nose due to allergies
appetime drops,use1,Treatment of Allergic skin conditions
arpit 30mg tablet,use1, Mania
alarrest 120mg tablet,use1,Treatment of Allergic conditions
aripride 4mg tablet,use1,Treatment of Systemic lupus erythematosus (SLE)
amoxyjet kid dry syrup,use1,Treatment of Bacterial infections
alerg m 5mg/10mg tablet,use1,Treatment of Hay fever
arvisone 200mg injection,use1,Treatment of Allergic conditions
atortrue 10mg tablet,use1,Prevention of Heart attack
alderos 20mg tablet,use1, Prevention of heart attack and stroke
angiblock 10mg capsule,use1,Prevention of Angina (heart-related chest pain)
arkacetam 400mg tablet,use1, Stroke
astat 20mg tablet,use1,Prevention of Heart attack
adron 4 tablet md,use1,Treatment of Vomiting
arity 10mg tablet,use1, Mania
acriset 20mg tablet,use1,Treatment of Peptic ulcer disease
allerfly m 5mg/10mg tablet,use1,Treatment of Hay fever
astovin 10mg/160mg tablet,use1,Prevention of Heart attack
anupan 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
abtolol 50mg tablet,use1,Treatment of Angina (heart-related chest pain)
aridus 10mg tablet,use1, Mania
apiz 30mg tablet,use1, Mania
aceten 12.5mg tablet,use1, Prevention of heart attack and stroke
ancolam 0.5mg tablet sr,use1,Treatment of Panic disorder
anurab lsr capsule,use1,Treatment of Intestinal ulcers
arydomp 30mg/40mg capsule sr,use1,Treatment of Peptic ulcer disease
amnorm 10mg tablet,use1,Prevention of Angina (heart-related chest pain)
alencef o kid tablet,use1,Treatment of Bacterial infections
allezo m 5mg/10mg tablet,use1,Treatment of Hay fever
atordin 10mg tablet,use1,Prevention of Heart attack
abex l 75mg/20mg capsule sr,use1,Treatment of Intestinal ulcers
aticort 6mg tablet,use1,Treatment of Autoimmune conditions
arifive 20mg tablet,use1, Mania
aiopan 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
alentra dsr 40 mg/30 mg tablet,use1,Treatment of Peptic ulcer disease
alorex a cream,use1,Treatment of Mouth infection
amloedge 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
alert 180mg tablet,use1,Treatment of Allergic conditions
acipep 20mg tablet,use1,Treatment of Peptic ulcer disease
alzom 0.5mg tablet,use1,Treatment of Panic disorder
atorlive 10mg tablet,use1,Prevention of Heart attack
amiline 50mg tablet,use1, Neuropathic pain
amotic tablet,use1,Treatment of Vomiting
a tide 50mg injection,use1, Carcinoid tumours
anzatric 10mg tablet,use1,Treatment of Mania
affytericin-b injection,use1, Kala-azar
atril 10 tablet,use1, Neuropathic pain
acucort 250mg injection,use1,Treatment of Allergic conditions
alipride mps 125 mg/5 mg suspension,use1, Bloating
adipin 2.5mg tablet,use1,Prevention of Angina (heart-related chest pain)
anapol 650mg tablet,use1,Treatment of Fever
ap-den oral suspension,use1, Pain relief
atorvasia 10mg tablet,use1,Prevention of Heart attack
antram-plus tablet,use1,Treatment of Vomiting
ana 100mg tablet md,use1,Treatment of Fever
acvom 10mg/20mg tablet,use1,Treatment of Peptic ulcer disease
alkarej syrup,use1,Treatment of Kidney stone
anmol infusion,use1,Treatment of Fever
adyom ls 75mg/40mg capsule,use1,Treatment of Peptic ulcer disease
alto p oral suspension,use1, Pain relief
ad plus syrup,use1, Stomach ulcers
allitocort 6mg tablet,use1,Treatment of Autoimmune conditions
alfabet eye drop,use1,Treatment of Glaucoma
amoline 2.5 tablet,use1,Prevention of Angina (heart-related chest pain)
asidita 30mg/40mg capsule sr,use1,Treatment of Peptic ulcer disease
alprozam 0.5mg tablet,use1,Treatment of Panic disorder
amcetam 500mg/5ml syrup,use1, Stroke
accurate dsr 30mg/40mg tablet,use1,Treatment of Peptic ulcer disease
azon 6mg drop,use1,Treatment of Skin conditions with inflammation & itching
arz 20mg tablet,use1,Treatment of Peptic ulcer disease
amlan s 2.5mg  tablet,use1,Prevention of Angina (heart-related chest pain)
atcid 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
alprocontin 1mg tablet,use1,Treatment of Panic disorder
